Si3N4 Density=3.44, Angle=90.deg
Photon Energy (eV), Atten Length (microns)
30.0000, 1.562059E-02
179.850, 5.589671E-02
329.700, 0.173166
479.550, 0.191426
629.400, 0.374795
779.250, 0.648181
929.100, 1.03768
1078.95, 1.57456
1228.80, 2.23906
1378.65, 3.07068
1528.50, 4.08852
1678.35, 5.32172
1828.20, 6.79716
1978.05, 1.52672
2127.90, 1.82919
2277.75, 2.17490
2427.60, 2.56454
2577.45, 3.00058
2727.30, 3.48573
2877.15, 4.02248
3027.00, 4.61360
3176.85, 5.26158
3326.70, 5.96916
3476.55, 6.73905
3626.40, 7.57392
3776.25, 8.47628
3926.10, 9.44923
4075.95, 10.4951
4225.80, 11.6167
4375.65, 12.8164
4525.50, 14.0973
4675.35, 15.4620
4825.20, 16.9131
4975.05, 18.4529
5124.90, 20.0853
5274.75, 21.8116
5424.60, 23.6355
5574.45, 25.5596
5724.30, 27.5864
5874.15, 29.7184
6024.00, 31.9589
6173.85, 34.3104
6323.70, 36.7741
6473.55, 39.3575
6623.40, 42.0569
6773.25, 44.8800
6923.10, 47.8271
7072.95, 50.9014
7222.80, 54.1060
7372.65, 57.4437
7522.50, 60.9169
7672.35, 64.5276
7822.20, 68.2804
7972.05, 72.1767
8121.90, 76.2198
8271.75, 80.4117
8421.60, 84.7558
8571.45, 89.2543
8721.30, 93.9108
8871.15, 98.7277
9021.00, 103.706
9170.85, 108.852
9320.70, 114.165
9470.55, 119.648
9620.40, 125.306
9770.25, 131.140
9920.10, 137.153
10070.0, 143.348
10219.8, 149.729
10369.7, 156.296
10519.5, 163.054
10669.4, 170.004
10819.2, 177.149
10969.1, 184.492
11118.9, 192.033
11268.8, 199.779
11418.6, 207.730
11568.5, 215.889
11718.3, 224.259
11868.2, 232.843
12018.0, 241.642
12167.9, 250.658
12317.7, 259.895
12467.6, 269.354
12617.4, 279.040
12767.3, 288.955
12917.1, 299.099
13067.0, 309.475
13216.8, 320.084
13366.7, 330.936
13516.5, 342.026
13666.4, 353.353
13816.2, 364.930
13966.1, 376.753
14115.9, 388.824
14265.8, 401.143
14415.6, 413.716
14565.5, 426.548
14715.3, 439.636
14865.2, 452.982
15015.0, 466.591
15164.9, 480.476
15314.7, 494.623
15464.6, 509.042
15614.4, 523.731
15764.3, 538.694
15914.1, 553.935
16064.0, 569.446
16213.8, 585.241
16363.7, 601.315
16513.5, 617.671
16663.4, 634.312
16813.2, 651.234
16963.1, 668.446
17112.9, 685.940
17262.8, 703.736
17412.6, 721.817
17562.5, 740.197
17712.3, 758.866
17862.2, 777.835
18012.0, 797.098
18161.9, 816.663
18311.7, 836.526
18461.6, 856.692
18611.4, 877.162
18761.3, 897.940
18911.1, 919.019
19061.0, 940.405
19210.8, 962.095
19360.7, 984.095
19510.5, 1006.40
19660.4, 1029.02
19810.2, 1051.95
19960.1, 1075.20
20109.9, 1098.78
20259.7, 1122.69
20409.6, 1146.91
20559.5, 1171.44
20709.3, 1196.27
20859.2, 1221.42
21009.0, 1246.88
21158.9, 1272.64
21308.7, 1298.72
21458.6, 1325.11
21608.4, 1351.80
21758.3, 1378.80
21908.1, 1406.12
22058.0, 1433.74
22207.8, 1461.68
22357.7, 1489.92
22507.5, 1518.47
22657.4, 1547.33
22807.2, 1576.49
22957.1, 1605.96
23106.9, 1635.74
23256.7, 1665.81
23406.6, 1696.20
23556.5, 1726.88
23706.3, 1757.87
23856.2, 1789.16
24006.0, 1820.73
24155.9, 1852.63
24305.7, 1884.80
24455.6, 1917.28
24605.4, 1950.06
24755.3, 1983.12
24905.1, 2016.48
25055.0, 2050.13
25204.8, 2084.06
25354.7, 2118.29
25504.5, 2152.79
25654.4, 2187.59
25804.2, 2222.67
25954.1, 2258.01
26103.9, 2293.65
26253.8, 2329.55
26403.6, 2365.72
26553.5, 2402.19
26703.3, 2438.90
26853.2, 2475.89
27003.0, 2513.14
27152.9, 2550.65
27302.7, 2588.42
27452.6, 2626.46
27602.4, 2664.75
27752.3, 2703.29
27902.1, 2742.08
28052.0, 2781.12
28201.8, 2820.40
28351.7, 2859.92
28501.5, 2899.68
28651.4, 2939.67
28801.2, 2979.91
28951.1, 3020.37
29100.9, 3061.06
29250.8, 3101.99
29400.6, 3143.13
29550.5, 3184.48
29700.3, 3226.05
29850.2, 3267.83
30000.0, 3309.80